"Date","RegionName","State","Metro","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-04-30,"Habersham County","GA","Cornelia",964,1213,0.00413907284768212,0.00915141430948419,0.0763087843833185,21416
2019-04-30,"Wilson County","TX","San Antonio-New Braunfels",965,1538,-0.00194678780012979,-0.00453074433656958,0.00918635170603675,10592
2019-04-30,"Orleans County","NY","Rochester",966,1283,0.00706436420722135,0.00706436420722135,0.0296950240770466,11492
2019-04-30,"Burnet County","TX",,967,1435,-0.00347222222222222,-0.00416377515614157,0.045156591405681,12698
2019-04-30,"Muscatine County","IA","Muscatine",968,1111,-0.0185512367491166,-0.0254385964912281,-0.0141969831410825,12484
2019-04-30,"Fulton County","OH","Toledo",969,1100,0.00273473108477666,0.00640439158279963,0.00364963503649635,12519
2019-04-30,"Gratiot County","MI","Alma",970,861,-0.00577367205542725,-0.00577367205542725,0.0423728813559322,13249
2019-04-30,"Bryan County","OK","Durant",971,934,-0.00106951871657754,0,-0.00426439232409382,11201
2019-04-30,"Sequoyah County","OK","Fort Smith",972,848,0.00355029585798817,0.00593119810201661,0.00355029585798817,10986
2019-04-30,"Jackson County","IN","Seymour",973,971,0.00621761658031088,0.005175983436853,-0.00817160367722165,13868
2019-04-30,"Holmes County","OH",,974,1170,-0.00085397096498719,-0.00170648464163823,-0.0159798149705635,3690
2019-04-30,"Kandiyohi County","MN","Willmar",975,1232,-0.00484652665589661,-0.00884955752212389,0.00489396411092985,14223
2019-04-30,"De Kalb County","IN","Auburn",976,1047,-0.00285714285714286,-0.00758293838862559,-0.0178236397748593,11475
2019-04-30,"Barren County","KY","Glasgow",977,947,-0.00420609884332282,-0.00629590766002099,0.0383771929824561,11332
2019-04-30,"Greene County","AR","Paragould",978,873,-0.00456100342075257,-0.00908059023836549,-0.0223964165733483,13957
2019-04-30,"Shelby County","KY","Louisville/Jefferson County",979,1256,-0.0102442868400315,-0.0195160031225605,-0.00868192580899763,11251
2019-04-30,"Shenandoah County","VA",,980,1260,-0.0140845070422535,-0.0255220417633411,0.0947002606429192,14652
2019-04-30,"Tioga County","PA",,981,1091,0.00367985280588776,0.00831792975970425,0.0420248328557784,8579
2019-04-30,"Wood County","TX",,982,1332,-0.000750187546886722,-0.000750187546886722,0.0261941448382126,6948
2019-04-30,"Logan County","OK","Oklahoma City",983,974,0,-0.00915564598168871,-0.00204918032786885,17122
2019-04-30,"Warren County","PA","Warren",984,981,-0.00203458799593082,-0.00203458799593082,0.0380952380952381,12244
2019-04-30,"Marinette County","WI","Marinette",985,954,-0.00313479623824451,0.00104931794333683,0.0564784053156146,14878
2019-04-30,"Suwannee County","FL",,986,1223,0.00493015612161052,0.0140961857379768,0.0461933276304534,7104
2019-04-30,"Baxter County","AR","Mountain Home",987,965,-0.00720164609053498,-0.0122824974411464,-0.0143003064351379,14750
2019-04-30,"Delaware County","OK",,988,964,0.00731452455590387,0.0158061116965227,-0.0020703933747412,9134
2019-04-30,"Polk County","GA","Cedartown",989,1075,0.012241054613936,0.0396518375241779,0.111685625646329,14670
2019-04-30,"Wise County","VA","Big Stone Gap",990,1030,0.0048780487804878,0.0127826941986234,0.0127826941986234,4386
