"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-04-30,"Windsor","VA","Virginia Beach-Norfolk-Newport News","Isle of Wight County",6286,1359,0.00147383935151069,0.0126676602086438,0.0397857689364958,2190
2019-04-30,"Raymond","WA",,"Pacific County",6287,1270,0.00157728706624606,0.00474683544303797,-0.00157232704402516,1682
2019-04-30,"Frankfort Square","IL","Chicago-Naperville-Elgin","Will County",6288,1758,0.00514579759862779,0.0155979202772964,0.0514354066985646,2627
2019-04-30,"Crestline","OH","Bucyrus","Crawford County",6289,805,0.00750938673341677,0.0202788339670469,0.046814044213264,2446
2019-04-30,"Upper Deerfield","NJ","Vineland-Bridgeton","Cumberland County",6290,1270,0.00236779794790845,-0.0177880897138438,-0.0935046395431834,2378
2019-04-30,"Ithaca","MI","Alma","Gratiot County",6291,879,-0.00677966101694915,-0.00453001132502831,0.0451843043995244,2034
2019-04-30,"Roeland Park","KS","Kansas City","Johnson County",6292,1393,0.00577617328519856,0.00723065798987708,0.0123546511627907,3044
2019-04-30,"Hudson","NY","Hudson","Columbia County",6293,1497,0.00740242261103634,0.0239398084815321,0.0879360465116279,1812
2019-04-30,"Leonard","MI","Detroit-Warren-Dearborn","Oakland County",6294,1998,-0.000500250125062531,0.00503018108651911,0.0256673511293634,1566
2019-04-30,"Tunkhannock","PA","East Stroudsburg","Monroe County",6295,1265,0.0071656050955414,0.0144346431435445,0.00476568705321684,3829
2019-04-30,"Silverado","CA","Los Angeles-Long Beach-Anaheim","Orange County",6296,3041,0,-0.00164149704530532,0.00762094102054341,1211
2019-04-30,"Marlboro","NY","Kingston","Ulster County",6297,1828,-0.00163844893500819,-0.00218340611353712,0.0212290502793296,1913
2019-04-30,"Wolcottville","IN",,"Lagrange County",6298,1159,0.0017286084701815,-0.00429553264604811,-0.00515021459227468,3344
2019-04-30,"Fenton","NY","Binghamton","Broome County",6299,1037,-0.0161290322580645,-0.0512351326623971,-0.131490787269682,2054
