"Date","RegionName","State","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-04-30,"Charlottesville, VA","VA",189,1551,0.00258564964447317,0.0110821382007823,0.0711325966850829,80929
2019-04-30,"Claremont, NH","NH",190,1511,0.0026542800265428,0.00733333333333333,0.0693559801840057,97327
2019-04-30,"Barnstable Town, MA","MA",191,1888,0.0117899249732047,0.0216450216450216,0.0339539978094195,151741
2019-04-30,"Longview, TX","TX",192,1203,0.00166527893422148,0.00333611342785655,0.0134793597304128,54816
2019-04-30,"Prescott, AZ","AZ",193,1572,0.00319081046585833,0.00898587933247754,0.0261096605744125,80094
2019-04-30,"Tyler, TX","TX",194,1234,0.0008110300081103,-0.000809716599190283,0.00570497147514263,61095
2019-04-30,"Las Cruces, NM","NM",195,1033,0.00388726919339164,0.000968992248062016,0.0361083249749248,55570
2019-04-30,"Fargo, ND","ND",196,1340,0.00449775112443778,0.0151515151515152,0.031562740569669,54494
2019-04-30,"Rochester, MN","MN",197,1387,0.00289226319595083,0.0146305779078274,0.0612088752869166,80046
2019-04-30,"Florence, SC","SC",198,1002,0.003003003003003,0.0110998990918264,0.0558482613277134,75024
2019-04-30,"Medford, OR","OR",199,1551,0.0012911555842479,0.00388349514563107,0.009765625,51461
2019-04-30,"Lafayette-West Lafayette, IN","IN",200,1143,0.00175284837861525,0.00263157894736842,0.0297297297297297,57523
2019-04-30,"Bellingham, WA","WA",201,1751,0.00228963938179737,0.0174317257408483,0.118849840255591,72199
2019-04-30,"Lake Havasu City, AZ","AZ",202,1240,0.00161550888529887,0.00242522231204527,0.0247933884297521,73909
2019-04-30,"Johnson City, TN","TN",203,971,-0.00102880658436214,-0.00308008213552361,0.0440860215053763,87536
2019-04-30,"Yuma, AZ","AZ",204,921,0.00545851528384279,0.0143171806167401,0.0244716351501669,44455
2019-04-30,"Racine, WI","WI",205,1211,0.00665004156275977,0.0142378559463987,0.0726306465899026,63488
2019-04-30,"Athens, GA","GA",206,1290,0.00233100233100233,0.0141509433962264,0.0758965804837364,59605
2019-04-30,"Torrington, CT","CT",207,1559,-0.00192061459667093,-0.00826972010178117,0.0176240208877285,73603
2019-04-30,"St. Cloud, MN","MN",208,1305,-0.00381679389312977,-0.00609291698400609,0.0131987577639752,61961
2019-04-30,"Hilton Head Island, SC","SC",209,1801,0.00111172873818788,0.00446179587283882,0.0315005727376861,92938
2019-04-30,"Hilo, HI","HI",210,1829,0.000547045951859956,0.0149833518312986,0.0670945157526254,68125
2019-04-30,"Panama City, FL","FL",211,1505,0.0329444063143445,0.0897900072411296,0.168478260869565,87392
2019-04-30,"Kingston, NY","NY",212,1718,-0.00174317257408483,-0.00463499420625724,0.0214030915576694,58207
2019-04-30,"Daphne, AL","AL",213,1438,0.00069589422407794,0.00700280112044818,0.0596904937361828,90544
2019-04-30,"Gainesville, GA","GA",214,1380,0.00145137880986938,0.0102489019033675,0.0566615620214395,55669
2019-04-30,"Warner Robins, GA","GA",215,1034,0.00388349514563107,0.0117416829745597,0.0444444444444444,58562
2019-04-30,"Blacksburg, VA","VA",216,1171,0.000854700854700855,0.00342759211653813,0.0271929824561404,51371
2019-04-30,"Jacksonville, NC","NC",217,934,0.0075512405609493,0.0241228070175439,0.0565610859728507,62774
2019-04-30,"Redding, CA","CA",218,1443,0.00347705146036161,0.0147679324894515,0.0849624060150376,50968
2019-04-30,"Joplin, MO","MO",219,783,0.00127877237851662,-0.00127551020408163,-0.0163316582914573,38968
2019-04-30,"El Centro, CA","CA",220,1176,0.00255754475703325,0,0.0594594594594595,35256
2019-04-30,"Terre Haute, IN","IN",221,761,0.00661375661375661,0.0106241699867198,0.0201072386058981,60036
2019-04-30,"East Stroudsburg, PA","PA",222,1315,0.00766283524904214,0.0154440154440154,0.0162287480680062,76361
2019-04-30,"Sioux City, IA","IA",223,1055,0.00380589914367269,0.0115052732502397,0.0153994225216554,54312
2019-04-30,"Greenville, NC","NC",224,1062,0.00188679245283019,0.0143266475644699,0.0662650602409639,55493
2019-04-30,"Yuba City, CA","CA",225,1500,0.00267379679144385,0.00806451612903226,0.0452961672473868,43010
2019-04-30,"Abilene, TX","TX",226,1050,0.00190839694656489,0.00286532951289398,0.0479041916167665,50277
2019-04-30,"Columbia, MO","MO",227,1120,-0.000892060660124889,-0.0017825311942959,-0.00355871886120996,48331
2019-04-30,"Dover, DE","DE",228,1289,0,0.0101880877742947,0.0320256204963971,48995
2019-04-30,"Eau Claire, WI","WI",229,1121,0,0.0108205590622182,0.0293847566574839,50264
2019-04-30,"Janesville, WI","WI",230,893,0.00903954802259887,0.0113250283125708,0.0772014475271411,64875
2019-04-30,"Jackson, MI","MI",231,939,-0.00212539851222104,-0.0339506172839506,-0.0418367346938776,62149
2019-04-30,"Punta Gorda, FL","FL",232,1718,-0.00290191526407429,0.00174927113702624,-0.00521134916039375,91354
2019-04-30,"Bloomington, IN","IN",233,1242,0.00404203718674212,0.0130505709624796,0.0358632193494579,55866
