"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-04-30,417124,"Eagle Crest","FL","Tampa-St. Petersburg-Clearwater","Pinellas County","Saint Petersburg",6657,265700,-0.0107967237527923,-0.0345203488372093,0.0370804059328649,0.11366853964414,0.0532185692415923,"2019-01","2019-Q1",275200,-0.0345203488372093,"2018-08"
2019-04-30,417943,"Lesueur Estates","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Mesa",6658,259900,0.00386249517188104,0.0168231611893584,0.0748552522746071,0.0685108291632306,0.0524367782070165,"2006-04","2006-Q2",287500,-0.096,"2005-10"
2019-04-30,223187,"Shipyard","SC","Hilton Head Island-Bluffton-Beaufort","Beaufort County","Hilton Head Island",6659,308100,0.00522022838499184,0.0121550591327201,0.0436991869918699,0.026980388744128,-0.00440299227675778,"2006-08","2006-Q3",456400,-0.324934268185802,"2005-02"
2019-04-30,274214,"La Madera","AZ","Tucson","Pima County","Tucson",6660,208200,0.00628322861285645,0.0389221556886228,0.0860719874804382,0.0609278779204494,0.0146606590437546,"2007-06","2007-Q2",223500,-0.0684563758389262,"2005-07"
2019-04-30,415994,"Winchester","OH","Columbus","Franklin County","Columbus",6661,106200,-0.0018796992481203,0.00188679245283019,0.0310679611650485,0.145693497495651,0.026197769688725,"2006-04","2006-Q2",111000,-0.0432432432432432,"2004-10"
2019-04-30,125593,"Ortega","FL","Jacksonville","Duval County","Jacksonville",6662,401400,-0.00766378244746601,-0.0066815144766147,0.0568720379146919,0.0496713965346745,0.0053879737714706,"2007-10","2007-Q4",445500,-0.098989898989899,"2005-11"
2019-04-30,403196,"Portola Springs","CA","Los Angeles-Long Beach-Anaheim","Orange County","Irvine",6663,903600,-0.00594059405940594,-0.0171851207309115,0.0152808988764045,0.0195813482102494,0.0283093160185726,"2018-12","2018-Q4",919600,-0.0173988690735102,"2018-07"
2019-04-30,266549,"Barker","KS","Lawrence","Douglas County","Lawrence",6664,176900,0.000565610859728507,0.0143348623853211,0.0542312276519666,0.0358988152651047,0.0132383138215144,"2019-04","2019-Q2",176900,0,"2019-04"
2019-04-30,762425,"Charlestowne","SC","Charleston-North Charleston","Charleston County","Charleston",6665,1755400,0.0044632639047837,0.013685973321014,0.0395593983181334,0.078343527468933,0.032297601364593,"2019-04","2019-Q2",1755400,0,"2019-04"
2019-04-30,205180,"Gene Autry","CA","Riverside-San Bernardino-Ontario","Riverside County","Palm Springs",6666,465200,0.00670850465267258,0.0317143490796185,0.0662388264955306,0.0861816010625773,0.0674916623765525,"2019-04","2019-Q2",465200,0,"2019-04"
